label=Displacement
num_items=648

0:	0.000000e+000 0.000000e+000 
245:	-2.479571e-002 7.228598e-002 
246:	-2.724400e-002 7.186472e-002 
247:	-2.969067e-002 7.146078e-002 
248:	-3.213462e-002 7.106974e-002 
249:	-3.457573e-002 7.068695e-002 
250:	-3.701456e-002 7.030858e-002 
251:	-3.823310e-002 7.012089e-002 
252:	0.000000e+000 8.182136e-002 
253:	-1.110423e-003 8.182124e-002 
254:	-3.337147e-003 8.170167e-002 
255:	-5.580424e-003 8.147180e-002 
256:	-7.848533e-003 8.114887e-002 
257:	-1.014600e-002 8.075471e-002 
258:	-1.247404e-002 8.031241e-002 
259:	-1.483071e-002 7.984367e-002 
260:	-1.721216e-002 7.936638e-002 
261:	-1.961348e-002 7.889384e-002 
262:	-2.202960e-002 7.843450e-002 
263:	-2.445589e-002 7.799250e-002 
264:	-2.688846e-002 7.756845e-002 
265:	-2.932442e-002 7.716046e-002 
266:	-3.176182e-002 7.676513e-002 
267:	-3.419959e-002 7.637844e-002 
268:	-3.663729e-002 7.599660e-002 
269:	-3.785565e-002 7.580674e-002 
270:	0.000000e+000 8.738574e-002 
271:	-1.088819e-003 8.738566e-002 
272:	-3.272131e-003 8.727361e-002 
273:	-5.471802e-003 8.705760e-002 
274:	-7.696361e-003 8.675260e-002 
275:	-9.951508e-003 8.637789e-002 
276:	-1.223966e-002 8.595441e-002 
277:	-1.456037e-002 8.550204e-002 
278:	-1.691084e-002 8.503782e-002 
279:	-1.928681e-002 8.457475e-002 
280:	-2.168328e-002 8.412153e-002 
281:	-2.409520e-002 8.368282e-002 
282:	-2.651799e-002 8.325995e-002 
283:	-2.894782e-002 8.285174e-002 
284:	-3.138181e-002 8.245544e-002 
285:	-3.381800e-002 8.206745e-002 
286:	-3.625513e-002 8.168384e-002 
287:	-3.747355e-002 8.149204e-002 
288:	0.000000e+000 9.294350e-002 
289:	-1.055035e-003 9.294340e-002 
290:	-3.172145e-003 9.283731e-002 
291:	-5.309341e-003 9.263236e-002 
292:	-7.477450e-003 9.234219e-002 
293:	-9.683776e-003 9.198437e-002 
294:	-1.193184e-002 9.157811e-002 
295:	-1.422144e-002 9.114193e-002 
296:	-1.654942e-002 9.069183e-002 
297:	-1.891049e-002 9.024028e-002 
298:	-2.129829e-002 8.979582e-002 
299:	-2.370622e-002 8.936327e-002 
300:	-2.612816e-002 8.894432e-002 
301:	-2.855891e-002 8.853831e-002 
302:	-3.099443e-002 8.814298e-002 
303:	-3.343190e-002 8.775519e-002 
304:	-3.586968e-002 8.737103e-002 
305:	-3.708839e-002 8.717856e-002 
306:	0.000000e+000 9.570752e-002 
307:	-1.029419e-003 9.570758e-002 
308:	-3.097033e-003 9.560494e-002 
309:	-5.189637e-003 9.540668e-002 
310:	-7.320466e-003 9.512547e-002 
311:	-9.498207e-003 9.477795e-002 
312:	-1.172661e-002 9.438232e-002 
313:	-1.400480e-002 9.395621e-002 
314:	-1.632820e-002 9.351499e-002 
315:	-1.868982e-002 9.307072e-002 
316:	-2.108148e-002 9.263182e-002 
317:	-2.349498e-002 9.220319e-002 
318:	-2.592288e-002 9.178671e-002 
319:	-2.835901e-002 9.138201e-002 
320:	-3.079872e-002 9.098715e-002 
321:	-3.323880e-002 9.059929e-002 
322:	-3.567730e-002 9.021481e-002 
323:	-3.689595e-002 9.002241e-002 
324:	-9.724398e-003 0.000000e+000 
325:	-1.110265e-002 0.000000e+000 
326:	-1.217284e-002 0.000000e+000 
327:	-1.272372e-002 0.000000e+000 
328:	-1.313623e-002 0.000000e+000 
329:	-1.305273e-002 0.000000e+000 
330:	-1.205608e-002 0.000000e+000 
331:	-1.023534e-002 0.000000e+000 
332:	-8.846503e-003 0.000000e+000 
333:	-8.020679e-003 0.000000e+000 
334:	-7.099724e-003 0.000000e+000 
335:	-5.464592e-003 0.000000e+000 
336:	-3.224988e-003 0.000000e+000 
337:	-1.624655e-003 0.000000e+000 
338:	-7.162672e-004 0.000000e+000 
339:	-2.507239e-004 0.000000e+000 
340:	2.602433e-007 0.000000e+000 
341:	0.000000e+000 0.000000e+000 
342:	-9.732618e-003 1.270019e-003 
343:	-1.111174e-002 1.020318e-003 
344:	-1.217043e-002 8.988211e-004 
345:	-1.263849e-002 9.038825e-004 
346:	-1.281588e-002 9.258329e-004 
347:	-1.248785e-002 9.663152e-004 
348:	-1.146304e-002 9.591256e-004 
349:	-9.863050e-003 9.001953e-004 
350:	-8.509577e-003 8.563147e-004 
351:	-7.372005e-003 7.683752e-004 
352:	-6.128492e-003 6.969068e-004 
353:	-4.549167e-003 5.098933e-004 
354:	-2.758127e-003 2.595478e-004 
355:	-1.477603e-003 8.538781e-005 
356:	-6.891577e-004 1.378105e-005 
357:	-2.361105e-004 1.966094e-005 
358:	9.323649e-008 2.663228e-006 
359:	0.000000e+000 0.000000e+000 
360:	-9.660243e-003 3.835378e-003 
361:	-1.092065e-002 3.080910e-003 
362:	-1.188393e-002 2.685059e-003 
363:	-1.218931e-002 2.624598e-003 
364:	-1.202250e-002 2.648633e-003 
365:	-1.140483e-002 2.684938e-003 
366:	-1.038145e-002 2.622280e-003 
367:	-9.086508e-003 2.444800e-003 
368:	-7.766764e-003 2.223305e-003 
369:	-6.305275e-003 1.930609e-003 
370:	-4.765090e-003 1.590742e-003 
371:	-3.352892e-003 1.132447e-003 
372:	-2.107507e-003 6.035982e-004 
373:	-1.175339e-003 2.322772e-004 
374:	-5.562403e-004 6.896447e-005 
375:	-1.987163e-004 3.857174e-005 
376:	-1.206555e-005 3.814899e-006 
377:	0.000000e+000 0.000000e+000 
378:	-9.491045e-003 6.440104e-003 
379:	-1.051588e-002 5.206974e-003 
380:	-1.130705e-002 4.511954e-003 
381:	-1.147288e-002 4.329925e-003 
382:	-1.112328e-002 4.299283e-003 
383:	-1.036728e-002 4.269154e-003 
384:	-9.404033e-003 4.113964e-003 
385:	-8.254497e-003 3.793856e-003 
386:	-6.943082e-003 3.364929e-003 
387:	-5.500994e-003 2.804979e-003 
388:	-4.001074e-003 2.089128e-003 
389:	-2.731167e-003 1.420987e-003 
390:	-1.656191e-003 8.346026e-004 
391:	-8.556462e-004 3.992574e-004 
392:	-3.590750e-004 1.389190e-004 
393:	-1.401161e-004 5.994444e-005 
394:	-1.435145e-005 2.647765e-006 
395:	0.000000e+000 0.000000e+000 
396:	-9.222185e-003 9.051041e-003 
397:	-9.907065e-003 7.408461e-003 
398:	-1.045521e-002 6.415021e-003 
399:	-1.051269e-002 6.070952e-003 
400:	-1.011238e-002 5.923319e-003 
401:	-9.425082e-003 5.763548e-003 
402:	-8.566731e-003 5.477834e-003 
403:	-7.447686e-003 5.028103e-003 
404:	-6.151251e-003 4.395914e-003 
405:	-4.823593e-003 3.614208e-003 
406:	-3.420900e-003 2.641291e-003 
407:	-2.242218e-003 1.746317e-003 
408:	-1.312719e-003 1.021440e-003 
409:	-6.386783e-004 5.087441e-004 
410:	-2.116793e-004 1.712350e-004 
411:	-4.650131e-005 4.193750e-005 
412:	-1.398561e-005 1.637007e-005 
413:	0.000000e+000 0.000000e+000 
414:	-8.854243e-003 1.163287e-002 
415:	-9.125394e-003 9.690805e-003 
416:	-9.364463e-003 8.433941e-003 
417:	-9.325397e-003 7.920971e-003 
418:	-8.982489e-003 7.585553e-003 
419:	-8.421591e-003 7.288038e-003 
420:	-7.642855e-003 6.858408e-003 
421:	-6.660927e-003 6.232767e-003 
422:	-5.462248e-003 5.389672e-003 
423:	-4.266348e-003 4.378727e-003 
