-4.887167e-02 
-1.463787e-01 
-1.951310e-01 
1.149107e-01 
-4.879520e-02 
1.136647e-01 
-1.463706e-01 
1.138385e-01 
-1.951060e-01 
1.137071e-01 
3.411858e-01 
-4.855277e-02 
3.416242e-01 
-1.462505e-01 
3.412463e-01 
-1.949528e-01 
3.412172e-01 
4.552056e-01 
-4.875859e-02 
4.551896e-01 
-1.460681e-01 
4.550827e-01 
-1.948695e-01 
4.549404e-01 
-1.066035e-03 
-1.690634e-03 
-3.759913e-04 
-9.948622e-04 
3.589597e-03 
-7.171832e-04 
-5.797854e-05 
-4.620032e-05 
-6.651379e-04 
-1.076389e-03 
7.072752e-03 
1.587008e-03 
4.416960e-03 
1.075590e-03 
1.048485e-03 
7.139565e-03 
5.386264e-03 
1.373933e-03 



Displacement
0	0.0000000000000e+00	 0.0000000000000e+00	 
1	-4.8871669809940e-02	 0.0000000000000e+00	 
2	-1.4637874901808e-01	 0.0000000000000e+00	 
3	-1.9513098837008e-01	 0.0000000000000e+00	 
4	0.0000000000000e+00	 1.1491065874657e-01	 
5	-4.8795196692001e-02	 1.1366466769815e-01	 
6	-1.4637061770533e-01	 1.1383851564581e-01	 
7	-1.9510598347763e-01	 1.1370711851833e-01	 
2	5	-1.7937368919130e-03	1.0000917056443e+01	-2.2004561910279e-03	2.9997369958654e+00	
2	6	8.7728393913142e-03	1.0013089249715e+01	5.9269736892693e-04	3.0065586267320e+00	
2	7	3.1382473823847e-03	9.9982984262861e+00	-2.7621987727215e-03	3.0004310021005e+00	
2	8	3.2213794271723e-03	9.9968489589821e+00	-2.9994260632193e-03	3.0000211015228e+00	
3	0	-4.0330031869837e-03	1.0002982321521e+01	8.2190773665668e-06	2.9996847955002e+00	
3	1	-1.9222239448284e-03	9.9995071392424e+00	3.9804062291005e-05	2.9992754745893e+00	
3	2	2.1231915026059e-03	1.0000546108109e+01	1.5219159516155e-04	3.0008007898836e+00	
3	3	-2.8955978545566e-03	1.0000581349493e+01	-1.8028218403343e-03	2.9993057254916e+00	
3	4	-7.0146500867452e-04	1.0000816379993e+01	-1.5219465357671e-04	3.0000344744953e+00	
3	5	1.0793222227772e-03	1.0000086937392e+01	3.6291367436709e-04	3.0003498778845e+00	
3	6	4.2621786234518e-03	1.0000760536528e+01	-1.5451307196376e-03	3.0015068145454e+00	
3	7	2.2825401494000e-03	1.0002881297696e+01	1.5921745581320e-04	3.0015491513535e+00	
3	8	-2.4584257587881e-03	9.9985589615169e+00	-4.8827463430623e-04	2.9988301607274e+00	



Reaction Force
-2.3904197298299e-03	 -8.3568298939420e+01	 
1.2336087039811e-01	 -1.6691390552216e+02	 
1.6971313456862e-04	 -1.6672667529139e+02	 
-1.5649504364970e-08	 -8.3330873156000e+01	 
-4.4112184618064e-02	 4.9121506579699e-01	 
3.4036209022836e-02	 3.0914703106356e-02	 
3.5998495033850e-04	 2.9868538153508e-04	 
2.3182432994204e-10	 1.1171121958228e-08	 
-7.1286182518492e-02	 1.6486253643371e-02	 
6.2745940759579e-04	 8.3103353022349e-04	 
6.8259306301018e-06	 7.1964914737637e-06	 
-9.9690704426312e-09	 -1.8609940550932e-09	 
-4.0772236195043e-02	 8.3333333341441e+01	 
-1.0417275385176e-08	 1.6666666665069e+02	 
1.6052929943287e-08	 1.6666666664240e+02	 
-2.0031551881215e-08	 8.3333333327184e+01	 
