label=Displacement
num_items=240

0:	-4.059548e-05 0.000000e+00 
123:	-1.857672e-04 3.589182e-04 
124:	-1.941678e-05 4.272739e-04 
125:	-2.925651e-05 4.268491e-04 
126:	-4.915827e-05 4.253459e-04 
127:	-6.934632e-05 4.234416e-04 
128:	-8.984269e-05 4.213981e-04 
129:	-1.105740e-04 4.194152e-04 
130:	-1.314830e-04 4.175748e-04 
131:	-1.524861e-04 4.158975e-04 
132:	-1.735374e-04 4.143341e-04 
133:	-1.840667e-04 4.135634e-04 
134:	-1.900712e-05 4.541997e-04 
135:	-2.864992e-05 4.538096e-04 
136:	-4.826517e-05 4.523872e-04 
137:	-6.831038e-05 4.505782e-04 
138:	-8.876552e-05 4.486221e-04 
139:	-1.095427e-04 4.466974e-04 
140:	-1.305177e-04 4.448952e-04 
141:	-1.515885e-04 4.432307e-04 
142:	-1.726693e-04 4.416685e-04 
143:	-1.831998e-04 4.408962e-04 
144:	-6.241496e-06 6.351211e-05 
145:	-7.710605e-06 6.250232e-05 
146:	-1.449646e-05 1.124942e-04 
147:	-1.520173e-05 1.116017e-04 
148:	-1.576059e-05 1.617787e-04 
149:	-1.666434e-05 1.616202e-04 
150:	-1.728219e-05 2.134163e-04 
151:	-1.814059e-05 2.132669e-04 
152:	-1.775180e-05 2.660119e-04 
153:	-1.865542e-05 2.659512e-04 
154:	-1.798475e-05 3.194810e-04 
155:	-1.888434e-05 3.194308e-04 
156:	-1.794579e-05 3.733254e-04 
157:	-1.884663e-05 3.732882e-04 
158:	-1.764946e-05 4.273408e-04 
159:	-1.853280e-05 4.273067e-04 
160:	-1.727216e-05 4.542677e-04 
161:	-1.813931e-05 4.542361e-04 
162:	-3.383112e-06 6.527564e-05 
163:	-4.737424e-06 6.418597e-05 
164:	-1.309303e-05 1.143473e-04 
165:	-1.379782e-05 1.135127e-04 
166:	-1.399790e-05 1.620440e-04 
167:	-1.485677e-05 1.618841e-04 
168:	-1.554948e-05 2.137178e-04 
169:	-1.642271e-05 2.135881e-04 
170:	-1.595809e-05 2.661222e-04 
171:	-1.684912e-05 2.660630e-04 
172:	-1.618065e-05 3.195790e-04 
173:	-1.708456e-05 3.195354e-04 
174:	-1.614786e-05 3.733955e-04 
175:	-1.704533e-05 3.733607e-04 
176:	-1.588099e-05 4.274062e-04 
177:	-1.676581e-05 4.273761e-04 
178:	-1.553996e-05 4.543278e-04 
179:	-1.640523e-05 4.542988e-04 
180:	0.000000e+00 8.814296e-05 
181:	-3.813267e-06 8.815619e-05 
182:	-1.112210e-05 8.344117e-05 
183:	-1.751607e-05 7.327007e-05 
184:	-2.194904e-05 5.446387e-05 
185:	0.000000e+00 9.323514e-05 
186:	5.049575e-07 9.322884e-05 
187:	1.311213e-06 8.872758e-05 
188:	1.386616e-06 7.992747e-05 
189:	-4.988764e-07 6.857582e-05 
190:	0.000000e+00 1.181885e-04 
191:	-1.387651e-06 1.181876e-04 
192:	-4.322792e-06 1.176480e-04 
193:	-7.681919e-06 1.168587e-04 
194:	-1.142431e-05 1.159122e-04 
195:	0.000000e+00 1.651491e-04 
196:	-1.771298e-06 1.651498e-04 
197:	-5.285833e-06 1.647880e-04 
198:	-8.722028e-06 1.639456e-04 
199:	-1.210977e-05 1.625482e-04 
