label=ReactionForce
num_items=240

0:	-1.812629e-10 -1.519366e+00 
122:	-1.671591e-09  5.399737e-10 
123:	 1.042266e-09  1.060186e-09 
124:	-3.626058e-09 -1.359645e-09 
125:	 3.659238e-10  5.403321e-10 
126:	 3.011927e-10  8.617299e-10 
127:	-1.502674e-10  1.247169e-11 
128:	-1.497101e-09 -1.367098e-09 
129:	-7.191437e-10  1.402061e-09 
130:	-1.243076e-10 -2.754279e-10 
131:	 5.404196e-10 -1.133402e-09 
132:	-2.392311e-10  2.804528e-10 
133:	-3.847467e-10 -6.667225e-10 
134:	-1.800739e-09  4.041667e+00 
135:	-4.086013e-10  7.416667e+00 
136:	-1.781503e-09  1.112500e+01 
137:	 4.761352e-10  1.112500e+01 
138:	 1.118236e-09  1.112500e+01 
139:	 6.283693e-10  1.112500e+01 
140:	 1.530353e-10  1.112500e+01 
141:	 1.425704e-10  1.112500e+01 
142:	 2.115478e-09  7.416667e+00 
143:	 1.685081e-10  3.708333e+00 
144:	 1.786351e-08  1.745608e-09 
145:	-2.284798e-09 -2.509283e-10 
146:	 1.520665e-08  5.080878e-09 
147:	-6.498885e-09  3.409074e-09 
148:	 1.376572e-08 -4.788036e-09 
149:	 8.427992e-09 -5.041342e-09 
150:	 2.173591e-09  2.928657e-09 
151:	-1.649453e-09  2.207339e-09 
152:	 3.275976e-09 -2.004129e-09 
153:	-2.715116e-09 -9.250224e-10 
154:	 1.559845e-08 -8.237921e-09 
155:	 4.875120e-09 -1.521291e-09 
156:	 2.007608e-08  4.339719e-09 
157:	 8.794505e-09  3.419872e-09 
158:	-2.288079e-09 -1.187144e-10 
159:	 2.231571e-09 -2.044499e-09 
160:	 7.189797e-09  6.666667e-01 
161:	-3.848471e-09  3.333333e-01 
162:	-2.074670e-09  2.083598e-09 
163:	-2.723230e-12  2.736634e-09 
164:	 6.567703e-09  4.771779e-09 
165:	 3.136958e-09  4.263874e-09 
166:	-4.453893e-10 -7.636591e-10 
167:	 1.528104e-09 -1.455616e-11 
168:	-9.499356e-09 -1.473144e-09 
169:	-7.415403e-09 -3.645497e-09 
170:	 2.968443e-09  7.036629e-10 
171:	-5.378239e-09  8.833190e-10 
172:	-2.620663e-09  2.665530e-10 
173:	-8.018773e-09 -9.971675e-10 
174:	 1.035439e-09  3.995832e-10 
175:	 1.227024e-09  3.733108e-09 
176:	-4.034054e-09 -2.753863e-09 
177:	-8.659667e-10 -2.309047e-09 
178:	-4.014528e-10  1.083333e+00 
179:	-3.032902e-09  3.333333e-01 
180:	 1.926548e+00 -3.361193e-10 
181:	-3.341463e-09 -3.782814e-09 
182:	-1.208960e-09 -1.657576e-09 
183:	 8.452241e-10  1.645167e-09 
184:	-2.453713e-09 -7.500470e-11 
185:	 6.623453e-02  1.576224e-09 
186:	-5.093809e-10  2.903217e-10 
187:	-3.505779e-09 -1.208982e-09 
188:	-3.480805e-09  1.235377e-09 
189:	 2.343627e-09  1.241849e-10 
190:	-7.621036e-01  4.874398e-09 
191:	 5.135998e-09 -4.205969e-09 
192:	-1.835479e-09 -8.409430e-14 
193:	-3.511870e-11  1.451939e-10 
194:	 8.976232e-10  1.624603e-10 
195:	-4.508161e-01  5.668689e-09 
196:	-2.920394e-09 -1.468629e-09 
197:	-4.752874e-10 -1.530870e-09 
198:	-4.211624e-09  2.077035e-10 
199:	-1.730902e-09  1.043466e-09 
200:	-2.895597e-01 -6.457114e-10 
201:	-3.681345e-10 -1.178149e-09 
202:	-3.729597e-09 -1.636735e-09 
203:	 3.244483e-09  4.374052e-10 
