xi	eta	x	y	stress_rr	stress_sita
 6.2500000000e-02	 5.3750000000e-01	 7.0321734642e-01	 7.9648704558e-01	-5.8982790282e+01	-4.9258721404e+02
 6.2500000000e-02	 5.5000000000e-01	 6.8659410813e-01	 8.1086051868e-01	-7.3055928424e+01	-5.0291608671e+02
 6.2500000000e-02	 5.6250000000e-01	 6.6969175932e-01	 8.2487526183e-01	-8.6993289707e+01	-5.1219299787e+02
 6.2500000000e-02	 5.7500000000e-01	 6.5252193811e-01	 8.3852332726e-01	-1.0072565220e+02	-5.2035318233e+02
 6.2500000000e-02	 5.8750000000e-01	 6.3509657533e-01	 8.5179727052e-01	-1.1418564395e+02	-5.2733595895e+02
 6.2500000000e-02	 6.0000000000e-01	 6.1742786745e-01	 8.6469016333e-01	-1.2730796061e+02	-5.3308498226e+02
 6.2500000000e-02	 6.1250000000e-01	 5.9952824872e-01	 8.7719560478e-01	-1.4002954755e+02	-5.3754849128e+02
 6.2500000000e-02	 6.2500000000e-01	 5.8141036298e-01	 8.8930773069e-01	-1.5228974147e+02	-5.4067955843e+02
 7.5000000000e-02	 5.0000000000e-01	 7.6013978980e-01	 7.6013978980e-01	-2.0734248366e+01	-3.4830944334e+02
 7.5000000000e-02	 5.1250000000e-01	 7.4423546055e-01	 7.7571810559e-01	-3.0379479495e+01	-3.5730611938e+02
 7.5000000000e-02	 5.2500000000e-01	 7.2801545109e-01	 7.9096049399e-01	-4.0917969175e+01	-3.6652501988e+02
 7.5000000000e-02	 5.3750000000e-01	 7.1149049167e-01	 8.0585748141e-01	-5.2244524907e+01	-3.7590046597e+02
 7.5000000000e-02	 5.5000000000e-01	 6.9467168587e-01	 8.2040005419e-01	-6.4249410451e+01	-3.8536875968e+02
 7.5000000000e-02	 5.6250000000e-01	 6.7757048590e-01	 8.3457967667e-01	-7.6818322265e+01	-3.9486892891e+02
 7.5000000000e-02	 5.7500000000e-01	 6.6019866679e-01	 8.4838830758e-01	-8.9832319201e+01	-4.0434352532e+02
 7.5000000000e-02	 5.8750000000e-01	 6.4256829975e-01	 8.6181841488e-01	-1.0316770595e+02	-4.1373946932e+02
 7.5000000000e-02	 6.0000000000e-01	 6.2469172471e-01	 8.7486298878e-01	-1.1669587707e+02	-4.2300893087e+02
 7.5000000000e-02	 6.1250000000e-01	 6.0658152224e-01	 8.8751555307e-01	-1.3028313864e+02	-4.3211022413e+02
 7.5000000000e-02	 6.2500000000e-01	 5.8825048490e-01	 8.9977017459e-01	-1.4379053902e+02	-4.4100867982e+02
 8.7500000000e-02	 5.0000000000e-01	 7.6897862457e-01	 7.6897862457e-01	-2.5331429605e+01	-2.4066600303e+02
 8.7500000000e-02	 5.1250000000e-01	 7.5288936125e-01	 7.8473808356e-01	-3.0250901390e+01	-2.4575639877e+02
 8.7500000000e-02	 5.2500000000e-01	 7.3648074703e-01	 8.0015770903e-01	-3.6814928332e+01	-2.5214722673e+02
 8.7500000000e-02	 5.3750000000e-01	 7.1976363692e-01	 8.1522791724e-01	-4.4863755528e+01	-2.5980556969e+02
 8.7500000000e-02	 5.5000000000e-01	 7.0274926361e-01	 8.2993958971e-01	-5.4219520569e+01	-2.6870727042e+02
 8.7500000000e-02	 5.6250000000e-01	 6.8544921248e-01	 8.4428409152e-01	-6.4686535315e+01	-2.7883752452e+02
 8.7500000000e-02	 5.7500000000e-01	 6.6787539547e-01	 8.5825328790e-01	-7.6052274557e+01	-2.9019080681e+02
 8.7500000000e-02	 5.8750000000e-01	 6.5004002416e-01	 8.7183955924e-01	-8.8089456069e+01	-3.0276974044e+02
 8.7500000000e-02	 6.0000000000e-01	 6.3195558198e-01	 8.8503581423e-01	-1.0055957289e+02	-3.1658254128e+02
 8.7500000000e-02	 6.1250000000e-01	 6.1363479575e-01	 8.9783550136e-01	-1.1321807844e+02	-3.3163883037e+02
 8.7500000000e-02	 6.2500000000e-01	 5.9509060682e-01	 9.1023261848e-01	-1.2582109060e+02	-3.4794394129e+02
 1.0000000000e-01	 5.0000000000e-01	 7.7781745933e-01	 7.7781745933e-01	-3.0115078647e+01	-1.3338236102e+02
 1.0000000000e-01	 5.1250000000e-01	 7.6154326195e-01	 7.9375806153e-01	-2.9870667228e+01	-1.3484597651e+02
